sample,tube_weight_mg,total_weight_mg,DCW_mg,yield_gDCW_gFRC
WT,1001.09,1042.51,41.41999999999996,0.41419999999999957
WT,1001.16,1042.32,41.15999999999997,0.4115999999999997
hypX,1004.55,1048.91,44.36000000000013,0.44360000000000127
hypX,996.51,1039.44,42.930000000000064,0.4293000000000006
hypB,1000.24,1038.18,37.940000000000055,0.37940000000000057
hypB,1001.17,1038.96,37.79000000000008,0.3779000000000008
WT,995.67,1036.95,41.280000000000086,0.4128000000000009
WT,1005.26,1047.52,42.25999999999999,0.4225999999999999
hypX,999.35,1044.1,44.749999999999886,0.44749999999999884
hypX,995.96,1040.03,44.069999999999936,0.44069999999999937
hypB,991.55,1031.33,39.77999999999997,0.3977999999999997
hypB,1011.39,1051.77,40.379999999999995,0.40379999999999994
hoxA,990.1,1039.45,49.35000000000002,0.4935000000000002
hoxA,1000.97,1050.52,49.549999999999955,0.49549999999999955
hoxA,997.56,1044.78,47.22000000000003,0.4722000000000003
hoxA,1004.62,1055.96,51.34000000000003,0.5134000000000003
hoxH,1001.22,1045.28,44.059999999999945,0.44059999999999944
hoxH,991.26,1037.7,46.440000000000055,0.46440000000000053
hoxH,991.15,1041.15,50.000000000000114,0.5000000000000011
hoxH,996.61,1046.8,50.18999999999994,0.5018999999999995
hoxG,1000.9,1036.4,35.500000000000114,0.35500000000000115
hoxG,1012.6,1048.4,35.80000000000007,0.3580000000000007
hoxG,1024.8,1060.7,35.90000000000009,0.35900000000000093
hoxG,1000.4,1036,35.60000000000002,0.3560000000000002
